chain,chain_id,address,symbol,name,listing_timestamp_ms,listing_date_alpha,listing_price_usdt,alpha_pair
BSC,56,0xe747e54783ba3f77a8e5251a3cba19ebe9c0e197,TAKE,OVERTAKE,1756116600000,2025-08-25T10:10:00+00:00,0.04732832,ALPHA_337USDT
BSC,56,0xe50e3d1a46070444f44df911359033f2937fcc13,SQD,Subsquid,1748869200000,2025-06-02T13:00:00+00:00,0.23730047,ALPHA_209USDT
BSC,56,0xc12efb9e4a1a753e7f6523482c569793c2271dbb,GAIX,GaiAI Token,1764403200000,2025-11-29T08:00:00+00:00,0.09531,ALPHA_485USDT
BSC,56,0xf6402bec11bd945bbd46be77e1fa5d477883f6c2,PORT3,Port3 Network,1764140400000,2025-11-26T07:00:00+00:00,0.00985428,ALPHA_482USDT
BSC,56,0xb9e1fd5a02d3a33b25a14d661414e6ed6954a721,SOON,SOON,1747987200000,2025-05-23T08:00:00+00:00,0.63327292,ALPHA_199USDT
BSC,56,0xa5c8e1513b6a08334b479fe4d71f1253259469be,GUA,SUPERFORTUNE,1764230400000,2025-11-27T08:00:00+00:00,0.06209783,ALPHA_483USDT
BSC,56,0x17ea10b6ae4fde59fdbf471bd28ab9710f508816,RLS,Rayls,1764586800000,2025-12-01T11:00:00+00:00,0.0812298,ALPHA_486USDT
BSC,56,0x91152b4ef635403efbae860edd0f8c321d7c035d,IRYS,Irys,1764068400000,2025-11-25T11:00:00+00:00,0.03271011,ALPHA_479USDT
BSC,56,0x44440f83419de123d7d411187adb9962db017d03,BNBHolder,币安Holder,1764047160000,2025-11-25T05:06:00+00:00,0.005,ALPHA_480USDT
BSC,56,0xe1e93e92c0c2aff2dc4d7d4a8b250d973cad4444,恶俗企鹅,三维威廉泰尔企鹅,1764047220000,2025-11-25T05:07:00+00:00,0.00438977,ALPHA_481USDT
BSC,56,0x5b6e1ccf4cbbe27f588f8dcea8e9e39acb595e3d,DIGI,MineD,1763805600000,2025-11-22T10:00:00+00:00,0.00038732,ALPHA_475USDT
BSC,56,0xcc442a4c0b9c35578aa285f0d39f2bcc0e152acd,SSS,Sparkle Token,1763978400000,2025-11-24T10:00:00+00:00,0.05471611,ALPHA_478USDT
