address,symbol,name,listing_timestamp_ms,listing_date_alpha,listing_price_quote,listing_quote,alpha_pair
sarosy6vscao718m4a778z4cgtvcwcgef5m9meh1lgl,SAROS,Saros,1757239200000,2025-09-07T10:00:00+00:00,0.36560013,USDT,
sw1tchlmrgtfw5xzknqqdpdarb8pd95sjywpnp9tbfx,SWTCH,Switchboard,1757415600000,2025-09-09T11:00:00+00:00,0.13604247,USDT,
drz26ckjdksvrwib3dvvsjo9eexccc7hkhdjviiyeezy,YZY,YZY,1755757200000,2025-08-21T06:20:00+00:00,1.10533182,USDT,
gpekud3jpjdc5d3gek8uvcb6vaiahgmduzmqfnf5btai,G,GIANTS,1752843600000,2025-07-18T13:00:00+00:00,0.00085002,USDT,
5evn2exivzxjflaa1khhfijkwfwh8znqyh36w1sfz89y,MIRAI,Project MIRAI,1751455260000,2025-07-02T11:21:00+00:00,0.00669201,USDT,
ed5nyywezpppiwimp8vym7sd7td3lat3q3grtwhzpjby,MOODENG,Moo Deng,1751448300000,2025-07-02T09:25:00+00:00,0.14021384,USDT,
czlsujwblfssjncfkh59rufqvafwcy5tzedwjsuypump,GOAT,Goatseus Maximus,1751460060000,2025-07-02T12:41:00+00:00,0.09472845,USDT,
38pgzpjyu2hkiyvv8qepfakb8tuobpdgm2ffen7dpump,gork,New XAI gork,1751450160000,2025-07-02T09:56:00+00:00,0.00527106,USDT,
5uuh9rtdispq6hks6bp4ndu9pnjpxrxuiw6shbtbhgh2,TROLL,TROLL,1751447280000,2025-07-02T09:08:00+00:00,0.01987419,USDT,
7gcihgdb8fe6knjn2mytkzzcrjqy3t9ghdc8uhymw2hr,POPCAT,Popcat,1751447160000,2025-07-02T09:06:00+00:00,0.2823092,USDT,
8btothi2zoxnf7qqk1wjmh2jubw9fjvvhngmvz2vpump,DARK,Dark Eclipse,1751452620000,2025-07-02T10:37:00+00:00,0.00274679,USDT,
c3dwdjt17gdvvcyc2nsdghxdhvmqrdhkfpadqq29pump,RFC,Retard Finder Coin,1751447280000,2025-07-02T09:08:00+00:00,0.00659041,USDT,
8oosbx7jjrzxm5m4thkhbpvwwg4qpoae6i4gig19pump,Wizard,Wizard Gang,1751449500000,2025-07-02T09:45:00+00:00,0.00087131,USDT,
