address,symbol,name
sarosy6vscao718m4a778z4cgtvcwcgef5m9meh1lgl,SAROS,Saros
sw1tchlmrgtfw5xzknqqdpdarb8pd95sjywpnp9tbfx,SWTCH,Switchboard
drz26ckjdksvrwib3dvvsjo9eexccc7hkhdjviiyeezy,YZY,YZY
gpekud3jpjdc5d3gek8uvcb6vaiahgmduzmqfnf5btai,G,GIANTS
5evn2exivzxjflaa1khhfijkwfwh8znqyh36w1sfz89y,MIRAI,Project MIRAI
ed5nyywezpppiwimp8vym7sd7td3lat3q3grtwhzpjby,MOODENG,Moo Deng
czlsujwblfssjncfkh59rufqvafwcy5tzedwjsuypump,GOAT,Goatseus Maximus
38pgzpjyu2hkiyvv8qepfakb8tuobpdgm2ffen7dpump,gork,New XAI gork
5uuh9rtdispq6hks6bp4ndu9pnjpxrxuiw6shbtbhgh2,TROLL,TROLL
7gcihgdb8fe6knjn2mytkzzcrjqy3t9ghdc8uhymw2hr,POPCAT,Popcat
8btothi2zoxnf7qqk1wjmh2jubw9fjvvhngmvz2vpump,DARK,Dark Eclipse
c3dwdjt17gdvvcyc2nsdghxdhvmqrdhkfpadqq29pump,RFC,Retard Finder Coin
8oosbx7jjrzxm5m4thkhbpvwwg4qpoae6i4gig19pump,Wizard,Wizard Gang
grass7b4rdkfbcjtkgsqnxkqjwigvqyfbuscujr3xxjs,GRASS,Grass
mew1gqwj3nexg2qgeriku7fafj79phvqvrequzscpp5,MEW,cat in a dogs world
4tbi66vi32s7j8x1a6ewfalhymuxu7cstcemsjqdpump,Ghibli,Ghiblification
fer8vbqnrsud5ntxaj2n3j1dahkzhfydktkulxd4pump,jellyjelly,jelly-my-jelly
driftupjyltosbwon8kombeysx54afavlddwsbksjwg7,DRIFT,Drift
creiuhfwdwcn5mjbmjta9bbpyqrqf2tcbuzwspwfpump,PYTHIA,PYTHIA
9dhe3pyctuymfk4h4bbpoaj4hqrr2kaldf6j6aakpump,BUZZ,Hive AI
gektnfm84qfyp2gdahz5agacbrd69anmga5fdhzupump,GRIFT,ORBIT
6ajcp7wulwmrylbnbi825wgguapswzpbehchndprpump,VINE,Vine Coin
axgabdftdbj2onxa4dkqfvwhzgftw9mfhwmd7vqfpump,HAT,TOP HAT
hng5pyjmtqcmzxrv6s9zp1cdkk5bgduyfbxbvnapump,ALCH,Alchemist AI
dfh5dzrgsvvcfdoyc2citkmrbdfrkyba4sofbpmapump,pippin,Pippin
a8c3xuqscfmylrte3vmtqraq8kgmasius9afnanwpump,FWOG,FWOG
dku9kyksfbn5lbffxtnndpax35o4fv6vj9fkk7pzpump,AVAAI,AVA AI
el5fuxj2j4ciqsmw85k5fg9dvuqjjuobhoqbi2kpump,UFD,Unicorn Fart Dust
61v8vbaqagmpgdqi4jcawo1dmbghsyhzodcpqnevpump,arc,AI Rig Complex
8x5vqbha8d7nkd52unus5nnt3pwa8pld34ymskeso2wn,ZEREBRO,zerebro
h2c31usxu35mdkbrgph8pudunmzo2e4rf4hnvl2upump,Shoggoth,Shoggoth
cbdcxko9qavr9hfshgpebg3zekoraed7w1jfq2o3pump,LUCE,Official Mascot of the Holy Year
9bb6nfecjbctnnlfko2fqvqbq8hhm13kcyycdqbgpump,Fartcoin,Fartcoin
kenjsuylashumfhyy5o4hp2fdnqzg1asuphfh2kyvep,GRIFFAIN,test griffain.com
